"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Cosmetology","Career and Technical",24,"Female","Unknown","White","344","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","OTHER","616"
"Substance Abuse Counseling","Health Science",34,"Male","Unknown","Hispanic/Latino","26","94","90","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Organizational Management","Business",34,"Female","Unknown","White","352","56","90","High School Diploma or GED","Some College",0,0,"MISD- LHS","FED PELL GRANT","0"
"English","Language and Fine Arts",26,"Female","Yes","Black or African American","341","355","350","Some High School","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Diesel Technology","Career and Technical",23,"Male","Unknown","American Indian or Alaska Native","322","352","342","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Automotive Technology","Career and Technical",25,"Male","Unknown","Hispanic/Latino","336","356","349","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Energy Technology","Career and Technical",22,"Male","Yes","Hispanic/Latino","352","344","353","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Cosmetology","Career and Technical",28,"Female","Unknown","White","342","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","OTHER","1029"
"Nursing-Vocational","Health Science",31,"Female","No","White","48","70","72","High School Diploma or GED","Associate Degree",0,0,"PERMIAN HIGH SCHOOL","FED PELL GRANT","1675"
"Health Services Management","Health Science",30,"Female","Yes","Black or African American","347","347","348","Some High School","Some High School",0,0,"Unknown International High School","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",27,"Female","Unknown","Hispanic/Latino","218","240","260","Some College","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","0"
"Emergency Medical Services","Health Science",31,"Male","Unknown","White","346","353","361","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","9999999"
"Nursing-Vocational","Health Science",60,"Female","Unknown","Hispanic/Latino","141","180","198","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Health Information Management","Health Science",39,"Female","Unknown","White","354","370","378","Unknown","Unknown",0,0,"Unknown International High School","FED PELL GRANT","4164"
"Business Management","Business",28,"Female","No","White","57","60","92","Unknown","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",22,"Female","Unknown","Hispanic/Latino","341","349","347","Unknown","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Nursing-Vocational","Health Science",25,"Female","Unknown","Black or African American","347","348","340","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",23,"Female","No","Hispanic/Latino","345","362","356","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","0"
"Business Administration","Business",26,"Female","No","Hispanic/Latino","40","74","92","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"Midland High School","OTHER","1345"
"Business Management","Business",26,"Female","Unknown","Black or African American","334","360","338","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Government","Social and Behavioral Science",24,"Male","Unknown","White","341","348","355","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Emergency Medical Services","Health Science",26,"Male","No","White","362","360","359","Some College","Bachelor/Four-year Degree",0,0,"AUSTIN E LATHROP HIGH SCHOOL","FED PELL GRANT","120"
"Computer Information Technology","Career and Technical",37,"Male","Yes","Hispanic/Latino","247","200","244","Some High School","Some High School",0,1,"MISD- LHS","OTHER","3030"
"Biology","Math and Science",33,"Female","Unknown","Hispanic/Latino","21","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","OTHER","0"
"Computer Programming","Career and Technical",23,"Male","Unknown","Hispanic/Latino","341","332","334","Unknown","Unknown",0,0,"PREMIER HIGH SCH-MIDLAND","OTHER","9999999"
"Sociology","Social and Behavioral Science",42,"Female","Yes","Hispanic/Latino","238","180","254","No High School","No High School",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",24,"Female","Yes","Asian","361","359","357","Some High School","Some High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Engineering","Math and Science",25,"Male","Unknown","Asian","333","352","341","Unknown","Unknown",0,0,"MISD- LHS","OTHER","5029"
"Nursing-Associate Degree","Health Science",24,"Female","Unknown","Black or African American","335","352","344","Unknown","Unknown",0,1,"Midland High School","OTHER","0"
"Nursing-Associate Degree","Health Science",24,"Female","Unknown","Black or African American","335","352","344","Unknown","Unknown",0,1,"Midland High School","OTHER","9999999"
"Business Management","Business",25,"Male","Unknown","White","357","374","355","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","39552"
"Business Administration","Business",30,"Female","Yes","White","NULL","357","350","Some High School","No High School",0,0,"PREMIER HIGH SCH-MIDLAND","FED PELL GRANT","0"
"Education","Education",25,"Female","Yes","Hispanic/Latino","346","345","334","High School Diploma or GED","No High School",0,0,"Midland High School","FED PELL GRANT","0"
"Biology","Math and Science",40,"Female","Unknown","Black or African American","197","180","248","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Psychology","Social and Behavioral Science",25,"Female","No","Hispanic/Latino","329","356","344","Associate Degree","High School Diploma or GED",0,0,"PREMIER HIGH SCH-MIDLAND","OTHER","34245"
"Nursing-Vocational","Health Science",26,"Female","Yes","White","335","364","362","Some High School","High School Diploma or GED",0,0,"GREENWOOD HIGH SCHOOL","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",36,"Female","No","White","929","58","85","High School Diploma or GED","Associate Degree",0,0,"RICHARD MILBURN ACADEMY","OTHER","0"
"Paralegal","Career and Technical",43,"Female","Yes","Hispanic/Latino","927","240","83","No High School","High School Diploma or GED",0,1,"Texas Ged","OTHER","1380"
"Health Services Management","Health Science",33,"Female","Yes","Hispanic/Latino","319","360","351","No High School","No High School",0,1,"Texas Ged","FED PELL GRANT","0"
"Biology","Math and Science",25,"Female","Unknown","Hispanic/Latino","348","359","351","Unknown","Unknown",0,0,"STEPHEN F AUSTIN HIGH SCHOOL","OTHER","899"
"Nursing-Vocational","Health Science",22,"Female","Unknown","White","326","350","351","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","2565"
"Business Management","Business",39,"Female","Unknown","Black or African American","339","10","78","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Business Administration","Business",36,"Female","Yes","Black or African American","190","240","248","High School Diploma or GED","No High School",0,0,"Midland High School","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",26,"Female","Yes","Hispanic/Latino","350","356","364","High School Diploma or GED","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","192"
"Criminal Justice","Career and Technical",39,"Female","Unknown","White","353","79","87","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","74205"
"Biology","Math and Science",29,"Female","Unknown","Hispanic/Latino","249","89","248","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Computer-Aided Drafting and Design","Career and Technical",49,"Female","Unknown","Hispanic/Latino","250","240","231","Unknown","Unknown",0,0,"PRESIDIO HIGH SCHOOL","FED PELL GRANT","11025"
"Respiratory Care","Health Science",29,"Female","Yes","Hispanic/Latino","354","372","360","No High School","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Energy Technology","Career and Technical",41,"Male","Unknown","Black or African American","321","338","330","Unknown","Unknown",0,0,"Unknown International High School","OTHER","48040"
"Psychology","Social and Behavioral Science",26,"Female","Yes","Hispanic/Latino","315","352","342","High School Diploma or GED","Some High School",0,1,"Texas Resident Individual Appro","OTHER","7188"
"Education","Education",24,"Male","No","Hispanic/Latino","355","373","379","Some High School","Associate Degree",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Management","Business",25,"Male","Yes","Hispanic/Latino","950","940","940","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","1649"
"Education","Education",38,"Female","Unknown","White","28","90","89","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Biology","Math and Science",26,"Female","No","Black or African American","343","354","347","High School Diploma or GED","Associate Degree",0,0,"MISD- LHS","OTHER","434"
"Health Information Management","Health Science",35,"Female","Unknown","White","228","180","221","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Arts","Language and Fine Arts",32,"Female","Unknown","White","59","90","83","High School Diploma or GED","Some College",0,0,"GREENWOOD HIGH SCHOOL","OTHER","9999999"
"Nursing-Associate Degree","Health Science",31,"Female","Unknown","Hispanic/Latino","NULL","375","361","Some High School","Some College",0,0,"HORIZON HIGH SCHOOL","FED PELL GRANT","0"
"Engineering","Math and Science",20,"Male","Unknown","Hispanic/Latino","361","353","373","Unknown","Unknown",0,0,"Midland High School","OTHER","1120"
"Biology","Math and Science",25,"Female","No","Hispanic/Latino","329","356","344","Associate Degree","High School Diploma or GED",0,0,"PREMIER HIGH SCH-MIDLAND","OTHER","41773"
"Kinesiology","Math and Science",24,"Male","Unknown","Hispanic/Latino","320","343","345","Unknown","Some College",0,0,"Midland High School","FED PELL GRANT","0"
"Health Information Management","Health Science",27,"Female","Unknown","Hispanic/Latino","325","348","341","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Fire Science Technology","Health Science",25,"Male","Unknown","Hispanic/Latino","337","345","353","Unknown","Unknown",0,0,"Midland High School","OTHER","1022"
"Energy Technology","Career and Technical",40,"Male","Unknown","Hispanic/Latino","338","367","366","Unknown","Unknown",0,0,"MCCAMEY HIGH SCHOOL","OTHER","30244"
